,doi
1932,10.1007/s11142-010-9122-7
1933,10.1080/0023656042000329873
1934,10.1080/00207543.2014.933909
1935,10.2753/CES1097-1475420503
1936,10.1111/jpim.12087
1937,10.1287/isre.2013.0509
1938,10.1002/asi.21278
1939,10.1080/09537287.2014.983579
1940,10.1080/01442870902899848
1941,10.1002/asi.20242
1942,10.1111/j.1540-4609.2009.00229.x
1943,10.1007/s10726-011-9237-7
1944,10.1145/1592761.1592780
1945,10.1287/isre.1120.0439
1946,10.1287/isre.1110.0364
1947,10.1080/01449290701432118
1948,10.1007/s00291-013-0345-4
1949,10.1377/hlthaff.2010.0840
1950,10.3233/IKS-2009-0150
1951,10.1287/isre.2014.0533
1952,10.1007/s11235-011-9418-3
1953,10.1007/s00607-015-0456-7
1954,10.2308/isys-50808
1955,10.1061/(ASCE)ME.1943-5479.0000028
1956,10.1080/10580531003684959
1957,10.1111/j.1430-9134.2005.00036.x
1958,10.1057/palgrave.dam.3650092
1959,10.1145/2590807
1960,10.1080/08839510802715159
1961,10.1111/poms.12045
1962,10.1111/deci.12190
1963,10.1080/09544820903527187
1964,10.1145/1314215.1314231
1965,10.1145/1897816.1897840
1966,10.1007/s10845-011-0570-0
1967,10.2105/AJPH.2012.300795
1968,10.1111/j.1539-6924.2005.00594.x
1969,10.1002/asi.20250
1970,10.1111/tgis.12167
1971,10.3401/poms.1070.0006
1972,10.2308/isys-50767
1973,10.3233/IFS-141142
1974,10.1080/00207543.2012.670925
1975,10.1007/s10257-008-0086-0
1976,10.1057/jam.2008.20
1977,10.1111/isj.12028
1978,10.1111/poms.12308
1979,10.1145/2366316.2366319
1980,10.1002/mcda.396
1981,10.1377/hlthaff.2012.0447
1982,10.1002/asi.20180
1983,10.1007/s10726-006-9064-4
1984,10.1016/j.serrev.2011.12.013
1985,10.1111/j.1539-6924.2010.01492.x
1986,10.2753/MIS0742-1222300106
1987,10.1377/hlthaff.2011.0923
1988,10.1080/00207543.2012.715768
1989,10.1111/j.1468-0394.2008.00464.x
1990,10.1007/s40273-013-0055-4
1991,10.10027/asi.20261
1992,10.1145/2556647.2556657
1993,10.1080/09613211003747071
1994,10.1080/0951192X.2012.719085
1995,10.1007/s10766-007-0068-8
1996,10.1057/dam.2009.12
1997,10.1007/s10257-010-0131-7
1998,10.1002/sdr.446
1999,10.1007/s00186-008-0278-x
2000,10.1145/1330311.1330324
2001,10.1089/cpb.2007.0203
2002,10.1080/03643107.2012.691080
2003,10.1080/03003930802044601
2004,10.1007/s10660-013-9110-7
2005,10.1080/07359680802619818
2006,10.1179/2047971913Y.0000000037
2007,10.1007/s10845-008-0146-9
2008,10.2478/v10033-012-0006-6
2009,10.1080/13602380802399338
2010,10.1287/moor.1080.0369
2011,10.2105/AJPH.2012.300968
2012,10.1002/isaf.1355
2013,10.3168/jds.2012-5572
2014,10.1111/j.1465-7295.2010.00292.x
2015,10.1080/0740817X.2013.857062
2016,10.1002/asi.20427
2017,10.3846/btp.2012.20
2018,10.1007/s10479-005-2047-z
2019,10.1007/s10257-007-0070-0
2020,10.1080/08920750701682056
2021,10.1109/MS.2012.38
2022,10.1111/sjoe.12019
2023,10.1080/01449290801987292
2024,10.1080/0740817X.2011.575441
2025,10.1080/00207543.2013.825382
2026,10.1145/2389241.2389249
2027,10.1109/MS.2015.70
2028,10.1002/sres.2281
2029,10.1080/14783360500078649
2030,10.1111/j.2044-8325.2012.02058.x
2031,10.1016/j.serrev.2009.10.001
2032,10.1007/s11235-013-9729-7
2033,10.5172/impp.12.1.26
2034,10.1145/1107458.1107491
2035,10.1111/j.1539-6924.2010.01439.x
2036,10.1049/iet-cta:20070486
2037,10.1002/kpm.216
2038,10.1111/exsy.12056
2039,10.1080/00207543.2014.935823
2040,10.3233/IFS-141296
2041,10.1080/0740817X.2014.999898
2042,10.1007/s10257-014-0246-3
2043,10.1061/(ASCE)CO.1943-7862.0000121
2044,10.1002/asi.23155
2045,10.1007/s00224-011-9349-0
2046,10.1061/(ASCE)ME.1943-5479.0000158
2047,10.1080/02664763.2015.1047744
2048,10.1007/s10207-006-0002-x
2049,10.1007/s00291-009-0186-3
2050,10.1287/opre.1090.0746
2051,10.1145/2661432
2052,10.1007/s10766-011-0189-y
2053,10.1080/13600800802155226
2054,10.1080/10580530.2015.1080005
2055,10.1080/01972243.2010.511560
2056,10.1145/2457465.2457468
2057,10.2308/isys-50563
2058,10.3991/ijac.v3i2.1265
2059,10.1145/1290958.1290971
2060,10.1007/s11067-013-9189-3
2061,10.1111/itor.12165
2062,10.1016/j.serrev.2008.11.001
2063,10.1007/s10729-009-9119-6
2064,10.1377/hlthaff.2013.0526
2065,10.1002/asi.20222
2066,10.1089/cpb.2007.0099
2067,10.1093/imaman/dpi029
2068,10.1287/opre.1120.1129
2069,10.1080/14719037.2011.650054
2070,10.1080/09640568.2014.921142
2071,10.1002/jls.21310
2072,10.1007/s11235-011-9442-3
2073,10.1080/0144929X.2011.638396
2074,10.1007/s10479-012-1302-3
2075,10.1002/asi.20612
2076,10.1287/mnsc.1070.0794
2077,10.1080/09654313.2013.783665
2078,10.1111/1468-5973.12027
2079,10.1111/j.1365-2575.2010.00366.x
2080,10.1287/opre.1070.0443
2081,10.1287/inte.2014.0783
2082,10.1016/j.serrev.2011.02.001
2083,10.1080/01608061.2013.815097
2084,10.1080/00207543.2010.501038
2085,10.3934/jimo.2013.9.437
2086,10.2753/MTP1069-6679150301
2087,10.1080/10447310903498940
2088,10.1080/00207543.2013.783243
2089,10.1377/hlthaff.2012.0124
2090,10.1080/13600861003748243
2091,10.1080/09544820500131268
2092,10.3233/IKS-2009-0136
2093,10.1111/j.1467-8276.2007.01106.x
2094,10.1111/j.1541-1338.2008.00367.x
2095,10.1007/s11235-011-9636-8
2096,10.1111/j.1468-2419.2010.00351.x
2097,10.2753/MER1052-8008240105
2098,10.1002/itdj.20065
2099,10.2501/IJMR-2014-021
2100,10.1002/asi.21134
2101,10.1080/0740817X.2015.1009759
2102,10.1007/s10257-012-0188-6
2103,10.1080/15332861.2011.571993
2104,10.1080/17517575.2013.879923
2105,10.1080/00207721.2013.807381
2106,10.1080/09511921003642105
2107,10.1007/s10207-013-0206-9
2108,10.1080/10580530.2014.958031
2109,10.1111/risa.12298
2110,10.1080/0144929X.2012.716254
2111,10.1207/s15327590ijhc1903_3
2112,10.102/asi.20296
2113,10.1080/0013791X.2012.733488
2114,10.1080/02642060500134084
2115,10.1002/bse.1756
2116,10.1111/j.1475-3995.2006.00573.x
2117,10.1007/s40171-013-0054-5
2118,10.1080/10580530.2011.536105
2119,10.1111/1468-5973.12041
2120,10.1145/1076211.1076246
2121,10.1007/s10589-009-9244-7
2122,10.1049/em:20060211
2123,10.1007/s10257-012-0198-4
2124,10.3846/1648-715X.2009.13.267-286
2125,10.1007/s10479-006-0009-8
2126,10.1007/s10257-008-0093-1
2127,10.1080/00207543.2010.504421
2128,10.5437/08956308X5701001
2129,10.1287/orsc.2013.0834
2130,10.1007/s00224-007-9056-z
2131,10.1080/17517575.2013.879209
2132,10.1002/hrm.21616
2133,10.2308/bria-10062
2134,10.1061/(ASCE)CO.1943-7862.0000449
2135,10.1080/01449290512331335591
2136,10.1093/imaman/dpn032
2137,10.1080/01449291003752948
2138,10.1111/j.1365-2575.2006.00241.x
2139,10.1007/s10257-005-0055-9
2140,10.1111/j.1540-4609.2011.00318.x
2141,10.1002/asi.20421
2142,10.1080/13504850600706271
2143,10.1145/2500881
2144,10.1007/s00245-012-9180-2
2145,10.1002/kpm.218
2146,10.1145/1378727.1404256
2147,10.7737/MSFE.2013.19.1.017
2148,10.3233/IKS-2009-0142
2149,10.1002/asi.21690
2150,10.3233/JCS-2009-0355
2151,10.1377/hlthaff.2012.0773
2152,10.1145/1330311.1330328
2153,10.1080/00207543.2012.748227
2154,10.1080/17517575.2011.638728
2155,10.1111/j.1468-0394.2006.00404_8.x
2156,10.1287/isre.2015.0565
2157,10.1080/09613218.2014.895248
2158,10.1007/s11235-011-9615-0
2159,10.1002/hrm.21571
2160,10.1002/asi.20576
2161,10.1287/mnsc.1120.1678
2162,10.1007/s10257-008-0096-y
2163,10.1007/s11142-009-9111-x
2164,10.1287/mnsc.1050.0504
2165,10.1080/00207540701846236
2166,10.1007/s40171-013-0056-3
2167,10.1080/14759551.2013.827421
2168,10.1080/01972240701224044
2169,10.1080/17517570601088356
2170,10.1080/10580530.2011.585584
2171,10.1287/mnsc.1050.0420
2172,10.1111/risa.12231
2173,10.1057/dam.2009.21
2174,10.1089/cyber.2015.0243
2175,10.1007/s10726-014-9386-6
2176,10.3168/jds.2013-7543
2177,10.2308/jmar-10407
2178,10.1086/660918
2179,10.5600/mmrr.002.03.a06
2180,10.3233/IKS-130215
2181,10.1145/1229179.1229181
2182,10.1145/1272516.1272522
2183,10.1688/1862-0000&lowbar;ZfP&lowbar;2012&lowbar;03&lowbar;Strohmeier
2184,10.1007/s10551-013-1705-3
2185,10.1080/10580530701221098
2186,10.1007/s10257-009-0116-6
2187,10.1207/s15327051hci2001&2_3
2188,10.2753/IMO0020-8825410103
2189,10.1111/j.1530-9290.2012.00555.x
2190,10.1080/00207541003604836
2191,10.1080/01972243.2013.856362
2192,10.1002/sres.745
2193,10.1080/00207543.2010.546586
2194,10.1145/2505985
2195,10.13073/FPJ-D-13-00070
2196,10.1002/pmj.21504
2197,10.1002/ert.21492
2198,10.1007/s10997-007-9025-6
2199,10.1080/00207543.2014.951093
2200,10.1111/isj.12037
2201,10.1080/10580530.2011.536112
2202,10.1002/asi.23223
2203,10.1287/inte.1100.0504
2204,10.1111/j.1467-8489.2006.00359.x
2205,10.1080/00207540701413912
2206,10.1111/deci.12076
2207,10.1377/hlthaff.2010.0593
2208,10.1179/2047971914Y.0000000094
2209,10.1080/00207540802425369
2210,10.1049/iet-cta.2007.0470
2211,10.1111/j.1467-9310.2005.00418.x
2212,10.1111/j.1365-2575.2011.00376.x
2213,10.1080/01449290601110715
2214,10.1111/j.1468-0009.2012.00671.x
2215,10.1080/0144929X.2014.934288
2216,10.1080/01972241003712199
2217,10.5034/inquiryjrnl_49.02.08
2218,10.1007/s11235-011-9501-9
2219,10.1007/s10845-012-0645-6
2220,10.3233/IP20100186
2221,10.1016/j.serrev.2013.01.002
2222,10.1080/09544820701802857
2223,10.1002/asi.22861
2224,10.1002/itdj.20008
2225,10.1145/1467247.1467276
2226,10.1179/2047971914Y.0000000092
2227,10.1287/isre.2013.0512
2228,10.1377/hlthaff.2012.1119
2229,10.1002/asi.20301
2230,10.2753/ATP1084-1806330104
2231,10.5755/j01.em.17.2.2166
2232,10.1145/1409360.1409386
2233,10.2753/MIS0742-1222300410
2234,10.3233/IFS-141343
2235,10.1002/nml.21105
2236,10.1080/10496491.2014.894775
2237,10.1111/j.0737-6782.2005.133_1.x
2238,10.1080/07408170600897510
2239,10.1111/j.1540-5915.2008.00218.x
2240,10.1080/14697688.2013.787492
2241,10.1111/deci.12007
2242,10.1080/09544820701403748
2243,10.1080/00185868.2012.659643
2244,10.1016/j.serrev.2011.12.005
2245,10.3233/IDA-150767
2246,10.1080/0144929X.2014.945962
2247,10.1287/isre.2013.0481
2248,10.1111/j.1540-5885.2012.00924.x
2249,10.1080/0144929X.2013.796001
2250,10.1002/tqem.21391
2251,10.1287/mnsc.1050.0379
2252,10.1049/me:20060308
2253,10.1007/s10257-012-0200-1
2254,10.1007/s10672-013-9226-x
2255,10.1007/s10257-013-0228-x
2256,10.1007/s10845-011-0619-0
2257,10.1007/s10257-008-0079-z
2258,10.1080/01972243.2011.534370
2259,10.1080/00207543.2014.918287
2260,10.1007/s10479-008-0423-1
2261,10.1287/isre.1070.0140
2262,10.1007/s10845-013-0794-2
2263,10.1111/j.1099-1123.2012.00458.x
2264,10.1007/s10479-007-0265-2
2265,10.1002/kpm.1469
2266,10.1061/(ASCE)0733-9364(2005)131:12(1328)
2267,10.1179/2047971914Y.0000000090
2268,10.1002/isaf.1335
2269,10.1007/s10726-006-9048-4
2270,10.1002/kpm.334
2271,10.1007/s00426-012-0428-x
2272,10.1080/07408170801975065
2273,10.1080/07421222.2014.1001260
2274,10.1179/2047970012Z.00000000028
2275,10.1080/00207540701247906
2276,10.1111/j.1468-0408.2007.00419.x
2277,10.1080/13504850500425444
2278,10.1002/asi.21449
2279,10.1111/j.1937-5956.2012.01328.x
2280,10.1111/isj.12041
2281,10.2753/MIS0742-1222300203
2282,10.1177/0046958014564055
2283,10.1057/palgrave.dam.3650059
2284,10.1080/10580530.2012.687305
2285,10.1111/j.1467-9310.2007.00456.x
2286,10.12948/issn14531305/17.4.2013.11
2287,10.1080/01944360801982203
2288,10.1080/10580530802151061
2289,10.1080/00207540601020411
2290,10.1145/1735886.1735891
2291,10.1111/j.1528-3585.2008.00356.x
2292,10.1007/s11205-011-9896-4
2293,10.1007/s10257-014-0252-5
2294,10.1080/13698570500229770
2295,10.1016/j.serrev.2008.06.003
2296,10.1080/00207540600806398
2297,10.1080/00207543.2012.698318
2298,10.1287/isre.1050.0056
2299,10.1111/1468-5973.12066
2300,10.1080/00949655.2014.913045
2301,10.1016/j.serrev.2012.12.001
2302,10.2753/IMO0020-8825400301
2303,10.1007/s11213-014-9328-x
2304,10.2105/AJPH.2014.302432
2305,10.1111/deci.12166
2306,10.1061/(ASCE)CO.1943-7862.0000642
2307,10.1007/s11235-009-9252-z
2308,10.2753/MIS0742-1222270203
2309,10.3846/20294913.2012.688072
2310,10.1177/0091026014536055
2311,10.1002/asi.20659
2312,10.1007/s00168-007-0189-4
2313,10.2753/MIS0742-1222310109
2314,10.1002/asi.20438
2315,10.1145/2483852.2483868
2316,10.1080/15332860802507370
2317,10.1111/j.1467-629X.2010.00380.x
2318,10.1080/0144929X.2015.1055801
2319,10.1061/(ASCE)0733-9364(2009)135:10(948)
2320,10.5172/ser.2014.21.1.14
2321,10.3233/GOV-130355
2322,10.1111/j.1468-2486.2009.00914.x
2323,10.1080/10507050801978406
2324,10.1080/10580530701777107
2325,10.1049/iet-cta:20060159
2326,10.1111/j.1365-2575.2006.00214.x
2327,10.1111/j.1835-2561.2010.00110.x
2328,10.1007/s10207-009-0098-x
2329,10.1177/0972262914551664
2330,10.1002/tqem.20208
2331,10.1002/asi.20231
2332,10.1080/00207543.2010.508944
2333,10.1057/dbm.2008.18
2334,10.1080/15332861.2010.487415
2335,10.3991/ijac.v7i1.3577
2336,10.1080/02681102.2010.506051
2337,10.1111/npqu.11524
2338,10.4067/S0718-18762013000200009
2339,10.2105/AJPH.2011.300152
2340,10.1111/j.1540-4609.2006.00102.x
2341,10.1007/s10766-013-0279-0
2342,10.1111/poms.12370
2343,10.1080/17517570701273221
2344,10.1057/dam.2008.16
2345,10.1287/opre.1120.1148
2346,10.1002/asi.20669
2347,10.1080/03085147.2015.1013355
2348,10.3233/IFS-130999
2349,10.1002/itdj.20029
2350,10.1111/j.1365-2575.2006.00228.x
2351,10.1093/bib/bbn007
2352,10.1509/jmkr.48.1.72
2353,10.1080/13571510701830523
2354,10.1080/14783360902719451
2355,10.1111/j.1467-9671.2009.01175.x
2356,10.1016/j.serrev.2007.08.005
2357,10.1111/j.1467-8594.2006.00271.x
2358,10.1057/dbm.2011.8
2359,10.1155/2007/58248
2360,10.1049/iet-cta.2008.0311
2361,10.1080/09613218.2010.481437
2362,10.1111/deci.12009
2363,10.5755/j01.eis.0.6.1612
2364,10.1080/13669877.2012.729526
2365,10.1007/s10257-014-0237-4
2366,10.1080/10580530902797524
2367,10.1111/j.1468-0394.2011.00600.x
2368,10.1002/asi.20369
2369,10.3316/IJEBM0302024
2370,10.1080/17517570701546741
2371,10.1080/10611991.2015.1161443
2372,10.1080/01446193.2010.538070
2373,10.5465/AME.2005.16965400
2374,10.1080/14783363.2012.669547
2375,10.3722/cadaps.2008.131-141
2376,10.1080/0740817X.2012.721947
2377,10.1080/08982112.2012.702382
2378,10.1061/(ASCE)0733-9364(2006)132:5(516)
2379,10.1080/09585190802109952
2380,10.1061/(ASCE)CO.1943-7862.0000024
2381,10.1287/mnsc.2013.1757
2382,10.3233/IFS-131039
2383,10.1111/deci.12131
2384,10.1080/10580530701221031
2385,10.1002/asi.21120
2386,10.1111/poms.12294
2387,10.1111/j.1540-4609.2006.00121.x
2388,10.1080/03643101003608927
2389,10.1002/kpm.1471
2390,10.2753/MIS0742-1222300404
2391,10.1287/mnsc.2014.1945
2392,10.1080/00207543.2013.801570
2393,10.1080/ 14783360600748000
2394,10.1007/s10729-011-9165-8
2395,10.1007/s11156-009-0114-2
2396,10.1207/s15327590ijhc2101_8
2397,10.1145/1216016.1216022
2398,10.12948/issn14531305/19.1.2015.08
2399,10.1145/1961209.1961210
2400,10.1111/itor.12031
2401,10.1080/09672567.2010.540337
2402,10.1111/poms.12032
2403,10.1007/s10696-015-9210-x
2404,10.3846/ijspm.2010.19
2405,10.1287/opre.2014.1268
2406,10.1007/s10784-010-9119-5
2407,10.1080/07421222.2015.1094955
2408,10.2753/MTP1069-6679190203
2409,10.1007/s11294-008-9156-9
2410,10.1002/sres.2175
2411,10.1080/0144929X.2010.489665
2412,10.1007/s10845-009-0281-y
2413,10.2753/MIS0742-1222310206
2414,10.1057/dam.2009.29
2415,10.1002/asi.22985
2416,10.1287/mnsc.2014.2103
2417,10.1080/00207543.2014.935825
2418,10.1007/s11575-010-0026-3
2419,10.1377/hlthaff.24.5.1323
2420,10.1142/S0218495812500185
2421,10.5755/j01.ee.24.5.2689
2422,10.1787/011766488208
2423,10.3168/jds.2009-2296
2424,10.1080/01446191003758171
2425,10.1111/j.1365-2575.2012.00408.x
2426,10.1080/08982110600567509
2427,10.1007/s10997-006-9000-7
2428,10.1111/j.1745-493X.2008.00056.x
2429,10.1080/00207543.2011.648777
2430,10.1007/s10207-012-0175-4
2431,10.1111/j.1468-0394.2006.00407.x
2432,10.1007/s10257-006-0033-x
2433,10.1080/09585190903148990
2434,10.1111/isj.12012
2435,10.1080/10580530.2011.536114
2436,10.1080/10580530701268347
2437,10.1007/s10257-007-0045-1
2438,10.1137/10079923X
2439,10.1089/cyber.2012.0492
2440,10.1145/1629175.1629185
2441,10.1080/10580530.2012.662102
2442,10.1080/01446190903171196
2443,10.2105/AJPH.2012.301068
2444,10.1080/09613210600675933
2445,10.1002/asi.20462
2446,10.1111/poms.12099
2447,10.1080/10580530701404272
2448,10.1002/asi.20245
2449,10.1007/s10257-012-0204-x
2450,10.1080/01449290903481418
2451,10.1002/pam.20483
2452,10.1002/isaf.274
2453,10.1287/msom.1060.0123
2454,10.2753/JEC1086-4415140104
2455,10.1111/j.1467-629X.2007.00247.x
2456,10.1002/mcda.1521
2457,10.1080/01944360801982237
2458,10.1080/01449290701761250
2459,10.1377/hlthaff.2011.0990
2460,10.1080/01446193.2013.798423
2461,10.1002/asi.21612
2462,10.1007/s10551-011-0939-1
2463,10.1080/00207540600990432
2464,10.1007/s10726-010-9200-z
2465,10.1111/j.1467-8640.2006.00280.x
2466,10.1080/09544828.2014.935305
2467,10.1002/sres.2118
2468,10.1287/msom.2014.0508
2469,10.1002/hrm.21644
2470,10.1111/jifm.12006
2471,10.1007/s00168-005-0025-7
2472,10.1145/1226736.1226738
2473,10.1080/17517575.2013.879742
2474,10.3722/cadaps.2010.89-99
2475,10.1002/asi.23326
2476,10.1287/isre.1110.0348
2477,10.1002/itdj.20108
2478,10.3233/ISU-2011-0626
2479,10.1057/rpm.2008.17
2480,10.1111/j.1468-0432.2007.00347.x
2481,10.1002/isaf.328
2482,10.1258/hsmr.2009.009017
2483,10.1287/isre.1120.0432
2484,10.1145/1536616.1536645
2485,10.1377/hlthaff.2015.0053
2486,10.1080/10580530802552045
2487,10.1111/radm.12042
2488,10.1287/trsc.1100.0352
2489,10.1080/01972243.2013.792304
2490,10.1080/10978526.2011.592793
2491,10.1080/07408170601013646
2492,10.1145/1060710.1060718
2493,10.2753/MIS0742-1222300400
2494,10.1080/17517575.2012.698022
2495,10.1002/hrm.21692
2496,10.5755/j01.ee.23.2.1546
2497,10.1111/j.1365-2575.2009.00339.x
2498,10.3846/1392-8619.2009.15.267-280
2499,10.2308/accr.2010.85.6.1827
2500,10.1080/08839510590901958
2501,10.1080/10580530.2015.1079998
2502,10.1080/00207543.2012.661889
2503,10.1002/asi.20363
2504,10.1080/09585190802707235
2505,10.1111/j.1365-2575.2007.00285.x
2506,10.1287/ijoc.1090.0351
2507,10.2105/AJPH.2014.302417
2508,10.3233/IFS-141323
2509,10.1007/s10726-007-9073-y
2510,10.1145/1666420.1666449
2511,10.1080/10447318.2014.925772
2512,10.1007/s10660-010-9069-6
2513,10.1111/radm.12008
2514,10.1080/09585190601068557
2515,10.1080/13571510600784862
2516,10.2105/AJPH.2012.301045
2517,10.1002/joe.20227
2518,10.1002/kpm.320
2519,10.1080/0144929X.2013.810776
2520,10.1002/asi.22672
2521,10.1002/tie.21551
2522,10.5437/08956308x5601008
2523,10.1111/j.1467-9671.2011.01246.x
2524,10.1007/s10479-013-1467-4
2525,10.1007/s10726-013-9367-1
2526,10.1007/s11156-010-0173-4
2527,10.1080/00207540701810786
2528,10.5277/ord140204
2529,10.2308/isys-50788
2530,10.3846/1392-8619.2009.15.229-244
2531,10.2308/jmar-50802
2532,10.1002/asi.23401
2533,10.1061/(ASCE)0733-9364(2006)132:5(482)
2534,10.2753/JEC1086-4415150202
2535,10.1007/s10479-008-0482-3
2536,10.1080/00207543.2011.638943
2537,10.2753/MIS0742-1222300102
2538,10.1057/palgrave.fsm.4760071
2539,10.3846/1611-1699.2008.9.319-326
2540,10.1287/orsc.1110.0681
2541,10.1145/1284621.1284626
2542,10.1016/j.serrev.2008.09.011
2543,10.1377/hlthaff.2013.0939
2544,10.1002/asi.20233
2545,10.1111/poms.12343
2546,10.1300/J057v12n01_03
2547,10.1007/s10257-005-0021-6
2548,10.1287/isre.2015.0576
2549,10.1080/10580530.2015.1018767
2550,10.1007/s40273-013-0074-1
2551,10.1007/s10845-010-0486-0
2552,10.1007/s10257-010-0148-y
2553,10.1258/095148406777888116
2554,10.1111/j.1468-5957.2009.02164.x
2555,10.1287/mnsc.1110.1416
2556,10.1080/0267257X.2012.691527
2557,10.1007/s11187-006-9001-6
2558,10.1080/10580530.2014.854103
2559,10.3168/jds.2012-6190
2560,10.1080/10580530.2010.514159
2561,10.3168/jds.2009-2162
2562,10.1061/(ASCE)0733-9364(2006)132:3(300)
2563,10.1111/j.1539-6924.2011.01775.x
2564,10.1080/01449290802121230
2565,10.1002/asi.20671
2566,10.1080/07408170590969889
2567,10.1145/1877766.1877767
2568,10.1080/14719030701763195
2569,10.1007/s11294-009-9238-3
2570,10.1002/sdr.320
2571,10.1061/(ASCE)0742-597X(2005)21:3(131)
2572,10.1080/02642060802248017
2573,10.1111/1468-5973.12035
2574,10.1007/s10726-007-9096-4
2575,10.1007/s10257-005-0025-2
2576,10.1080/13600860600705077
2577,10.1002/job.1883
2578,10.1080/09544821003598573
2579,10.1111/j.1467-8608.2009.01557.x
2580,10.1377/hlthaff.2009.0556
2581,10.1057/dam.2008.20
2582,10.1080/14631370600619964
2583,10.1287/trsc.1090.0268
2584,10.1287/trsc.1090.0282
2585,10.1049/cce:20060305
2586,10.1080/17517575.2011.625572
2587,10.1007/s10257-008-0082-4
2588,10.7595/management.fon.2012.0008
2589,10.1287/isre.1110.0410
2590,10.1080/1062726X.2012.626132
2591,10.1111/j.1468-0394.2008.00467.x
2592,10.3846/1392-8619.2009.15.437-452
2593,10.1080/10580530903018250
2594,10.1080/0952813X.2010.490963
2595,10.1002/csr.1296
2596,10.1300/J396v27n04̱06
2597,10.1080/09511920903443234
2598,10.1080/0144929X.2010.497564
2599,10.1080/13504851.2011.639725
2600,10.1111/j.1540-5414.2006.00131.x
2601,10.1007/s10845-012-0688-8
2602,10.1145/1435417.1435447
2603,10.1057/emr.2010.12
2604,10.1111/tgis.12047
2605,10.2105/AJPH.2010.300003
2606,10.1111/j.1540-5915.2010.00301.x
2607,10.1207/s15327051hci2003_3
2608,10.1080/00207543.2014.917214
2609,10.1002/sres.1133
2610,10.2753/MIS0742-1222310105
2611,10.1080/09613210600913540
2612,10.1377/hlthaff.2014.0445
2613,10.1111/j.1476-8691.2005.00326.x
2614,10.1061/(ASCE)0733-9364(2009)135:1(24)
2615,10.1287/isre.1100.0281
2616,10.1007/s10207-008-0064-z
2617,10.1007/s00607-013-0354-9
2618,10.1287/isre.1120.0451
2619,10.1007/s00291-006-0073-0
2620,10.1287/isre.1100.0322
2621,10.1049/ip-com:20040958
2622,10.1080/10580530701777172
2623,10.1080/00207540500140948
2624,10.1080/01972243.2010.511556
2625,10.1080/09639280802095206
2626,10.1111/j.1540-5885.2011.00858.x
2627,10.1287/opre.2014.1302
2628,10.7472/jksii.2015.16.4.61
2629,10.1111/j.1468-0300.2007.00181.x
2630,10.1002/sd.362
2631,10.1002/asi.20288
2632,10.1145/1039539.1039573
2633,10.1145/1132469.1132475
2634,10.1080/09613210701475753
2635,10.3233/IKS-2009-0139
2636,10.1287/mnsc.1060.0510
2637,10.3233/IFS-131085
2638,10.1080/0144929X.2010.528029
2639,10.1111/poms.12054
2640,10.3722/cadaps.2010.361-375
2641,10.1007/s00291-014-0365-8
2642,10.2753/CLG0009-4609430515
2643,10.7737/MSFE.2014.20.2.027
2644,10.1145/1229179.1229182
2645,10.1080/00207543.2015.1056318
2646,10.1145/1297797.1297801
2647,10.1002/hrm.21514
2648,10.1111/j.1541-0072.2005.00097.x
2649,10.1002/sres.1023
2650,10.1080/07408170600728897
2651,10.1080/00207540600767764
2652,10.1145/1862919.1862926
2653,10.1061/(ASCE)CO.1943-7862.0000648
2654,10.1287/orsc.1050.0174
2655,10.1002/sres.2286
2656,10.1002/pfi.20045
2657,10.1061/(ASCE)LM.1943-5630.0000160
2658,10.7472/jksii.2015.16.6.57
2659,10.1111/j.1467-8616.2007.00472.x
2660,10.1002/asi.21461
2661,10.1002/sres.757
2662,10.1007/s10726-006-9051-9
2663,10.1002/jid.1503
2664,10.1111/j.1540-5885.2011.00850.x
2665,10.1007/s10207-007-0052-8
2666,10.1080/00207543.2012.701773
2667,10.1002/asi.21710
2668,10.1377/hlthaff.2014.1085
2669,10.2753/PMR1530-9576350109
2670,10.1111/j.1540-6229.2012.00348.x
2671,10.1080/17517570903067751
2672,10.1007/s11156-008-0088-5
2673,10.1377/hlthaff.2012.0646
2674,10.1111/j.1475-3995.2006.00536.x
2675,10.1287/isre.1100.0309
2676,10.1080/14783363.2010.487707
2677,10.1145/1290958.1290970
2678,10.2308/bria-50755
2679,10.1002/sres.1074
2680,10.1061/(ASCE)0733-9364(2009)135:4(254)
2681,10.1089/cyber.2009.0335
2682,10.1080/00207543.2015.1005247
2683,10.1080/13600800600980072
2684,10.1080/09511920802527574
2685,10.1080/0144929042000320027
2686,10.1300/J396v28n0302
2687,10.1111/j.1365-2575.2011.00381.x
2688,10.1002/pad.432
2689,10.1145/1806907.1806913
2690,10.1002/asi.21518
2691,10.5755/j01.em.18.4.4498
2692,10.1080/0144929X.2014.883641
2693,10.1215/03616878-2416310
2694,10.1111/j.1365-2575.2007.00222.x
2695,10.1007/s10257-004-0042-6
2696,10.1111/j.1937-5956.2009.01028.x
2697,10.1080/10580530.2014.890440
2698,10.1002/pmj.21290
2699,10.1007/s10845-011-0616-3
2700,10.1111/j.1467-646X.2006.121.x
2701,10.1287/opre.2014.1335
2702,10.1080/00207543.2011.636389
2703,10.1145/1785414.1785453
2704,10.1057/palgrave.rpm.5160025
2705,10.3233/WOR-131806
2706,10.1002/jcaf.20453
2707,10.1111/jcms.12261
2708,10.1057/dam.2010.4
2709,10.1111/j.1467-9515.2007.00589.x
2710,10.1300/J396v28n02̱05
2711,10.1080/14783360701600704
